national_no,name,identifier,generation,types,family,stage,baseline_source,audit_class,intended_role,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,signature_move_policy,strong_move_gate,wild_capture_moveset_policy,vega_existing_status,review_confidence,implementation_note
796,デンジュモク,xurkitree,7,でんき,デンジュモク,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,でんきショック / でんじは,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ,エレキネット,じゅうでん,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
797,テッカグヤ,celesteela,7,はがね／ひこう,テッカグヤ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,ミラーショット / てっぺき / かぜおこし / おいかぜ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ラスターカノン / アクロバット,アイアンヘッド / おいかぜ,ボディプレス / はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
798,カミツルギ,kartana,7,くさ／はがね,カミツルギ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,はっぱカッター / メガドレイン / メタルクロー / ミラーショット,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび / ラスターカノン,グラススライダー / アイアンヘッド,こうごうせい / ボディプレス,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
799,アクジキング,guzzlord,7,あく／ドラゴン,アクジキング,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,バークアウト / ちょうはつ / りゅうのいぶき / りゅうのまい,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,バークアウト / ワイドブレイカー,はたきおとす / りゅうせいぐん,わるだくみ / こわいかお,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,最終進化Lv50以上。600族はLv55以上,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
800,ネクロズマ,necrozma,7,エスパー,ネクロズマ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,サイコカッター / ねんりき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,サイコショック,トリック,なし（タマゴ未発見／伝説・幻）,フォトンゲイザーを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
801,マギアナ,magearna,7,はがね／フェアリー,マギアナ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,ミラーショット / てっぺき / ようせいのかぜ / あまえる,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ラスターカノン / マジカルシャイン,アイアンヘッド / ミストバースト,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
802,マーシャドー,marshadow,7,かくとう／ゴースト,マーシャドー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,しんくうは / ビルドアップ / おどろかす / おにび,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ドレインパンチ / シャドークロー,コーチング / ポルターガイスト,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
803,ベベノム,poipole,7,どく,ベベノム → アーゴヨン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,補助寄り両刀,どくばり / アシッドボム,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ベノムショック,ダストシュート,どくびし,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
804,アーゴヨン,naganadel,7,どく／ドラゴン,ベベノム → アーゴヨン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理寄り,ダストシュート / どくどく / げきりん / りゅうのまい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ベノムショック / ワイドブレイカー,ダストシュート / りゅうせいぐん,どくびし / こわいかお,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,最終進化Lv50以上。600族はLv55以上,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
805,ツンデツンデ,stakataka,7,いわ／はがね,ツンデツンデ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理寄り,いわおとし / ステルスロック / メタルクロー / てっぺき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ステルスロック / ラスターカノン,メテオビーム / アイアンヘッド,すなあらし / ボディプレス,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
806,ズガドーン,blacephalon,7,ほのお／ゴースト,ズガドーン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊寄り,ひのこ / おにび / おどろかす,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ / シャドークロー,ねっぷう / ポルターガイスト,にほんばれ / みちづれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
807,ゼラオラ,zeraora,7,でんき,ゼラオラ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,でんきショック / でんじは,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ボルトチェンジ,エレキネット,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
808,メルタン,meltan,7,はがね,メルタン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理寄り,メタルクロー / てっぺき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ラスターカノン,アイアンヘッド,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
809,メルメタル,melmetal,7,はがね,メルメタル,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理アタッカー,メタルクロー / てっぺき,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,ラスターカノン,アイアンヘッド,なし（タマゴ未発見／伝説・幻）,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
810,サルノリ,grookey,8,くさ,サルノリ → バチンキー → ゴリランダー,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,メガドレイン / やどりぎのタネ,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
811,バチンキー,thwackey,8,くさ,サルノリ → バチンキー → ゴリランダー,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊寄り,ギガドレイン / やどりぎのタネ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
812,ゴリランダー,rillaboom,8,くさ,サルノリ → バチンキー → ゴリランダー,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理アタッカー,ドラムアタック / リーフブレード / やどりぎのタネ,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,くさむすび,グラススライダー,こうごうせい,ドラムアタックを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
813,ヒバニー,scorbunny,8,ほのお,ヒバニー → ラビフット → エースバーン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊寄り,ひのこ / おにび,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ,ねっぷう,にほんばれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
814,ラビフット,raboot,8,ほのお,ヒバニー → ラビフット → エースバーン,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊寄り,かえんほうしゃ / おにび,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ,ねっぷう,にほんばれ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
815,エースバーン,cinderace,8,ほのお,ヒバニー → ラビフット → エースバーン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,かえんボール / ニトロチャージ / かえんほうしゃ / おにび,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,かえんほうしゃ,ねっぷう,にほんばれ,かえんボールを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
816,メッソン,sobble,8,みず,メッソン → ジメレオン → インテレオン,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,アクアジェット / みずのはどう,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
817,ジメレオン,drizzile,8,みず,メッソン → ジメレオン → インテレオン,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,アクアブレイク / なみのり,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
818,インテレオン,inteleon,8,みず,メッソン → ジメレオン → インテレオン,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,特殊アタッカー,ねらいうち / ハイドロポンプ / あまごい,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクアブレイク,クイックターン,アクアリング,ねらいうちを進化時／Lv1思い出しに登録。通常のTM・汎用教え技にはしない。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,A,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
819,ホシガリス,skwovet,8,ノーマル,ホシガリス → ヨクバリス,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理寄り,ずつき / アンコール,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
820,ヨクバリス,greedent,8,ノーマル,ホシガリス → ヨクバリス,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理アタッカー,すてみタックル / アンコール,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,まもる,てだすけ,あくび,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
821,ココガラ,rookidee,8,ひこう,ココガラ → アオガラス → アーマーガア,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,つばさでうつ / かぜおこし,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクロバット,おいかぜ,はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
822,アオガラス,corvisquire,8,ひこう,ココガラ → アオガラス → アーマーガア,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,両刀・可変,ドリルくちばし / エアスラッシュ,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクロバット,おいかぜ,はねやすめ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
823,アーマーガア,corviknight,8,ひこう／はがね,ココガラ → アオガラス → アーマーガア,進化先／最終形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理アタッカー,ブレイブバード / おいかぜ / ヘビーボンバー / てっぺき,進化時に役割技を1つ提示。主力STABはLv36～50、反動・積み・専用大技はLv50～65またはLv1思い出し。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,アクロバット / ラスターカノン,おいかぜ / アイアンヘッド,はねやすめ / ボディプレス,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
824,サッチムシ,blipbug,8,むし,サッチムシ → レドームシ → イオルブ,基礎形,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,物理寄り,むしくい / ねばねばネット,安定したタイプ一致技をLv7～15、二段目をLv20～28に配置。進化前限定の補助技は思い出し対象に残す。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり,むしくい,いとをはく,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B-,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
825,レドームシ,dottler,8,むし／エスパー,サッチムシ → レドームシ → イオルブ,中間進化,DPE-JP Learnsets.c＋ベガ既存表（既存種）,DPE基準維持＋進行調整,補助寄り両刀,シザークロス / むしのさざめき / しねんのずつき / サイコキネシス,中威力STABをLv22～35、役割補助技を進化時またはLv30前後に配置。最終大技は先送り。,DPE表を土台に、進化前へ過剰な終盤技がある場合は後期へ移動。広範囲高火力サブウェポンはレベル技ではなくTM／教え技に限定。,とんぼがえり / サイコショック,むしくい / トリック,いとをはく / ひかりのかべ,専用技がある系統は進化時／Lv1思い出しに固定。戦闘専用フォームは基礎形の習得表を共有。,通常。高威力技はLv45以降、強力な積み技はLv50以降。,最低1つの命中90以上STABを維持し、自爆・テレポート・反動大技だけの直近4技を禁止。高レベル基礎種は中威力技を再挿入。,未収録・追加対象,B,最終統合ROMから現行表を抽出後、同名技の重複・ID衝突・取得時期を機械差分で確定する。
