vega_dex_no,name,types,family,stage,intended_role,baseline_source,audit_class,level_up_additions,level_up_retiming,level_up_removals_or_reassignment,tm_additions,tutor_additions,egg_move_additions,vega_custom_move_policy,strong_move_gate,wild_capture_moveset_policy,source_verification,review_confidence
297,ドルン,でんき,ドルン,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ,エレキネット,じゅうでん,代表独自技候補: マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
298,オールガ,でんき,オールガ,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ,エレキネット,じゅうでん,代表独自技候補: マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
299,ヒョウカク,でんき／こおり,ヒョウカク,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみなり / でんじは / ふぶき / ゆきげしき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ボルトチェンジ / アイススピナー,エレキネット / トリプルアクセル,じゅうでん / オーロラベール,代表独自技候補: マッハボルト / アイスバーン,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
304,キルギシア,あく／はがね,キルギシア → シルドール,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみつく / ちょうはつ / メタルクロー / てっぺき,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト / ラスターカノン,はたきおとす / アイアンヘッド,わるだくみ / ボディプレス,代表独自技候補: ダークカッター / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
305,シルドール,あく／はがね,キルギシア → シルドール,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,はたきおとす / ちょうはつ / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト / ラスターカノン,はたきおとす / アイアンヘッド,わるだくみ / ボディプレス,代表独自技候補: ダークカッター / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
306,セルシィ,こおり,セルシィ → セルディー,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,こごえるかぜ / ゆきげしき,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー,トリプルアクセル,オーロラベール,代表独自技候補: アイスバーン,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
307,セルディー,こおり,セルシィ → セルディー,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ふぶき / ゆきげしき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー,トリプルアクセル,オーロラベール,代表独自技候補: アイスバーン,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
308,コゴボー,ほのお,コゴボー → バーネッコ,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ひのこ / おにび,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
309,バーネッコ,ほのお,コゴボー → バーネッコ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,フレアドライブ / おにび,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,かえんほうしゃ,ねっぷう,にほんばれ,代表独自技候補: マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
310,コケゾー,くさ,コケゾー → ヒカリゴケ,基礎形,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガドレイン / やどりぎのタネ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
311,ヒカリゴケ,くさ／でんき,コケゾー → ヒカリゴケ,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,エナジーボール / やどりぎのタネ / かみなり / でんじは,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび / ボルトチェンジ,グラススライダー / エレキネット,こうごうせい / じゅうでん,代表独自技候補: リーフガード / マッハボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
313,ワークロ,あく／ひこう,ワークロ → アリンセス,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かみつく / ちょうはつ / つばさでうつ / おいかぜ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト / アクロバット,はたきおとす / おいかぜ,わるだくみ / はねやすめ,代表独自技候補: ダークカッター / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
314,アリンセス,むし,ワークロ → アリンセス,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かふんだんご / ねばねばネット,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,とんぼがえり,むしくい,いとをはく,代表独自技候補: しゅうげき,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
322,オンネット,あく,オンネット,進化先／単独種,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,はたきおとす / ちょうはつ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,バークアウト,はたきおとす,わるだくみ,代表独自技候補: ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
329,アルデッパ,じめん／ほのお,アルデッパ,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,じならし / だいちのちから / すなあらし / ニトロチャージ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし / かえんほうしゃ,ねっさのだいち / ねっぷう,まきびし / にほんばれ,代表独自技候補: すなかぜ / マグマアクセル,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
330,ゴキブロス,むし／あく,ゴキブロス → カミギリー,基礎形,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,むしくい / ねばねばネット / かみつく / ちょうはつ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,とんぼがえり / バークアウト,むしくい / はたきおとす,いとをはく / わるだくみ,代表独自技候補: しゅうげき / ダークカッター,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
331,カミギリー,むし／はがね,ゴキブロス → カミギリー,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,メガホーン / ねばねばネット / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,とんぼがえり / ラスターカノン,むしくい / アイアンヘッド,いとをはく / ボディプレス,代表独自技候補: しゅうげき / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
332,レファン,ノーマル,レファン → ガネーシャ,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
333,ガネーシャ,じめん,レファン → ガネーシャ,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,じしん / すなあらし,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,じならし,ねっさのだいち,まきびし,代表独自技候補: すなかぜ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
338,ラブリン,ノーマル,ラブリン → プレシオン,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ずつき / アンコール,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
339,プレシオン,ノーマル／みず,ラブリン → プレシオン,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ばくおんぱ（音系のみ） / アンコール / ハイドロポンプ / あまごい,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる / アクアブレイク,てだすけ / クイックターン,あくび / アクアリング,代表独自技候補: スピンテール / アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
341,メルリコ,みず,メルリコ → サムラダケ,基礎形,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,アクアジェット / みずのはどう,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクアブレイク,クイックターン,アクアリング,代表独自技候補: アクアボルト,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
342,サムラダケ,くさ,メルリコ → サムラダケ,進化先／単独種,耐久・補助,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ギガドレイン / やどりぎのタネ / こうごうせい,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,くさむすび,グラススライダー,こうごうせい,代表独自技候補: リーフガード,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
345,ティオルス,ドラゴン,ティオルス → プテリクス → ティラノス,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンテール / りゅうのまい,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー,りゅうせいぐん,こわいかお,代表独自技候補: ドラゴンビート,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
346,プテリクス,ドラゴン／ひこう,ティオルス → プテリクス → ティラノス,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドラゴンクロー / りゅうのまい / ドリルくちばし / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー / アクロバット,りゅうせいぐん / おいかぜ,こわいかお / はねやすめ,代表独自技候補: ドラゴンビート / かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
347,ティラノス,ドラゴン,ティオルス → プテリクス → ティラノス,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,げきりん / りゅうのまい,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ワイドブレイカー,りゅうせいぐん,こわいかお,代表独自技候補: ドラゴンビート,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
348,ブレイバー,かくとう,ブレイバー → ブレイドン → ブレイオー,基礎形,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,いわくだき / ビルドアップ,既存の序盤技を維持し、命中安定STABをLv8～16に1つだけ補う。独自大技は継承させない。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ドレインパンチ,コーチング,みきり,代表独自技候補: マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
349,ブレイドン,かくとう,ブレイバー → ブレイドン → ブレイオー,中間進化,物理寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,かわらわり / ビルドアップ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ドレインパンチ,コーチング,みきり,代表独自技候補: マグナムパンチ,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
350,ブレイオー,かくとう／はがね,ブレイバー → ブレイドン → ブレイオー,進化先／単独種,物理アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,インファイト / ビルドアップ / ヘビーボンバー / てっぺき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,ドレインパンチ / ラスターカノン,コーチング / アイアンヘッド,みきり / ボディプレス,代表独自技候補: マグナムパンチ / じりょくせん,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
351,テルテン,ノーマル,テルテン,進化先／単独種,特殊アタッカー,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ばくおんぱ（音系のみ） / アンコール,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,まもる,てだすけ,あくび,代表独自技候補: スピンテール,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,A
360,プレゼンタ,こおり,プレゼンタ,進化先／単独種,特殊寄り,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ふぶき / ゆきげしき,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アイススピナー,トリプルアクセル,オーロラベール,代表独自技候補: アイスバーン,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
362,ストータス,ひこう,ストータス,進化先／単独種,両刀・可変,ベガ2018完成版の既存習得表＋Wiki技データ,ベガ固有種手動優先監査,ドリルくちばし / エアスラッシュ / おいかぜ,進化時に系統の代表技を1つ、主力STABをLv35～50、ベガ独自の切り札をLv50～65または思い出しへ。,既存独自技を無条件に削除しない。高威力独自技を複数持つ場合は代表1～2個を残し、残りを終盤教え技へ。公式新技は身体構造・図鑑設定・種族値役割に合うものだけ追加。,アクロバット,おいかぜ,はねやすめ,代表独自技候補: かくらんひこう,威力120以上・高確率行動不能・2段階上昇を伴う独自技はLv55以上／殿堂入り後教え技。,野生出現レベルで命中90以上のSTABを1つ確保。捕獲を阻害する自滅・反動・逃走技のみの構成を禁止。,タイプ・種族値はVega Wiki一覧。正確な既存レベル技の削除差分は最終統合ROM抽出後に確定。,B
